trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
81,False,"{'a': 0.5, 'e': 0.9063542596224033}",25,0,-65.78924462612093,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.9051415413733003}",20,13,-7.164247165768064,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.903927350652772}",30,0,-140.75934537741986,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
84,False,"{'a': 0.5, 'e': 0.9027116838807483}",20,0,-34.642740747454226,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9014945374640867}",20,0,-47.46047263436093,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.9002759077965087}",25,0,-245.4577821216077,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 5}",0
87,False,"{'a': 0.5, 'e': 0.8990557912585353}",20,0,-141.35214718928887,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
88,False,"{'a': 0.5, 'e': 0.8978341842174231}",20,0,-29.58051552645701,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.8966110830270987}",20,0,-194.96352804794586,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
90,False,"{'a': 0.5, 'e': 0.8953864840280941}",25,13,-40.170924025753145,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.5, 'e': 0.8941603835474803}",30,0,-146.91016474072688,"{0: 21, 1: 0, 2: 5, 3: 2, 4: 2}",0
92,False,"{'a': 0.5, 'e': 0.8929327778988018}",30,2,-59.71036053826091,"{0: 22, 1: 2, 2: 2, 3: 1, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.89170366338201}",25,0,-160.6275660322899,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.8904730362833958}",20,0,-110.44657807430343,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.8892408928755229}",25,0,-113.24073766043004,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.8880072294171597}",30,0,-186.0194701807627,"{0: 14, 1: 2, 2: 11, 3: 2, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.8867720421532111}",20,14,-10.29632924469891,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.8855353273146505}",25,8,-98.45674876188271,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
99,False,"{'a': 0.5, 'e': 0.8842970811184496}",25,0,-128.88876292674476,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
100,False,"{'a': 0.5, 'e': 0.8830572997675107}",20,0,-49.38712370359482,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
101,False,"{'a': 0.5, 'e': 0.8818159794505949}",25,0,-165.5544335879779,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.8805731163422531}",20,0,-71.61072274851598,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
103,False,"{'a': 0.5, 'e': 0.8793287066027552}",20,0,-75.45158475252192,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.8780827463780183}",20,0,-99.7804353820515,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.8768352317995355}",20,10,-20.884645069367355,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.8755861589843037}",25,0,-143.05611754501223,"{0: 17, 1: 0, 2: 3, 3: 3, 4: 2}",0
107,False,"{'a': 0.5, 'e': 0.8743355240347512}",25,0,-92.03063300001561,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.873083323038665}",20,6,9.460135821856733,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.8718295520691163}",25,0,-30.837673138175962,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.8705742071843879}",25,0,-120.43561622733151,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.8693172844278992}",20,0,-115.4921294507688,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.8680587798281314}",30,0,-86.83839539349901,"{0: 22, 1: 1, 2: 5, 3: 1, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.8667986893985523}",35,0,-130.8714270605224,"{0: 22, 1: 2, 2: 9, 3: 1, 4: 1}",0
114,False,"{'a': 0.5, 'e': 0.8655370091375405}",25,0,-241.70569171346963,"{0: 12, 1: 4, 2: 2, 3: 3, 4: 4}",0
115,False,"{'a': 0.5, 'e': 0.8642737350283091}",25,0,-38.791833246446544,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.8630088630388292}",30,0,-70.86406439709084,"{0: 21, 1: 0, 2: 9, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.8617423891217522}",20,0,-48.94838276852496,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.8604743092143329}",25,0,-229.52959815721766,"{0: 12, 1: 3, 2: 5, 3: 1, 4: 4}",0
119,False,"{'a': 0.5, 'e': 0.8592046192383502}",20,0,-76.1926961826905,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
120,False,"{'a': 0.5, 'e': 0.8579333151000297}",20,0,-167.08413352055666,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 3}",0
121,False,"{'a': 0.5, 'e': 0.8566603926899632}",25,7,-82.86568172514573,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.85538584788303}",20,2,-30.454085358779782,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.854109676538316}",20,6,-15.349368129488674,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.8528318744990337}",25,17,-29.419845811043245,"{0: 5, 1: 0, 2: 2, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.8515524375924404}",30,0,-59.60025398274406,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.8502713616297565}",20,0,-19.82228934057585,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.8489886424060831}",25,0,-250.04208320246883,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 4}",0
128,False,"{'a': 0.5, 'e': 0.8477042757003198}",20,8,-24.012207828408663,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.8464182572750809}",20,8,-102.21202345443001,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 2}",1
130,False,"{'a': 0.5, 'e': 0.8451305828766112}",20,0,-107.13199823549681,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
131,False,"{'a': 0.5, 'e': 0.8438412482347025}",35,0,-268.38654865387633,"{0: 16, 1: 5, 2: 10, 3: 0, 4: 4}",0
132,False,"{'a': 0.5, 'e': 0.8425502490626076}",25,1,-53.522958773114475,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 1}",1
